Version,Bundling/Dropping Time (ms),Energy (J)
acrylicPaintDropping-GM2,500,5.2678800255
acrylicPaintDropping-GM2,500,5.2321535022
acrylicPaintDropping-GM2,500,5.3413742772
acrylicPaintDropping-GM2,500,5.4790421885
acrylicPaintDropping-GM2,500,5.7241808167
acrylicPaintDropping-GM2,500,5.3621033927
acrylicPaintDropping-GM2,500,5.373951446
acrylicPaintDropping-GM2,500,5.5466559001
acrylicPaintDropping-GM2,500,5.1312279692
acrylicPaintDropping-GM2,500,5.2959692013
acrylicPaintDropping-GM2,500,5.2827206193
acrylicPaintDropping-GM2,500,5.3323431848
acrylicPaintDropping-GM2,500,5.2117834326
acrylicPaintDropping-GM2,500,5.1467929071
acrylicPaintDropping-GM2,500,5.3026271569
acrylicPaintDropping-GM2,500,5.1793744549
acrylicPaintDropping-GM2,500,5.3482760039
acrylicPaintDropping-GM2,500,5.2841227734
acrylicPaintOriginal-GM2,500,6.4121628871
acrylicPaintOriginal-GM2,500,6.2844389223
acrylicPaintOriginal-GM2,500,6.2170101199
acrylicPaintOriginal-GM2,500,6.4456881019
acrylicPaintOriginal-GM2,500,6.4842950532
acrylicPaintOriginal-GM2,500,6.4176316172
acrylicPaintOriginal-GM2,500,6.46678277
acrylicPaintOriginal-GM2,500,6.4697830182
acrylicPaintOriginal-GM2,500,6.1893117173
acrylicPaintOriginal-GM2,500,6.2773743139
acrylicPaintOriginal-GM2,500,6.3820127915
acrylicPaintOriginal-GM2,500,6.3047327697
acrylicPaintOriginal-GM2,500,6.3420183945
acrylicPaintOriginal-GM2,500,6.2663833423
acrylicPaintOriginal-GM2,500,6.2724114544
acrylicPaintOriginal-GM2,500,6.3871512034
acrylicPaintOriginal-GM2,500,6.2633507
acrylicPaintOriginal-GM2,500,6.2613095443
acrylicPaintOriginal-GM2,500,6.1598256741
acrylicPaintOriginal-GM2,500,6.1560362906
acrylicPaintBundling-GM2,500,5.2956239412
acrylicPaintBundling-GM2,500,5.3587295404
acrylicPaintBundling-GM2,500,5.2410753194
acrylicPaintBundling-GM2,500,5.7066733604
acrylicPaintBundling-GM2,500,5.3948075817
acrylicPaintBundling-GM2,500,5.3555319175
acrylicPaintBundling-GM2,500,5.3779795507
acrylicPaintBundling-GM2,500,5.1219224721
acrylicPaintBundling-GM2,500,5.3866516356
acrylicPaintBundling-GM2,500,5.4230293338
acrylicPaintBundling-GM2,500,5.2444873021
acrylicPaintBundling-GM2,500,5.1888881932
acrylicPaintBundling-GM2,500,5.1994997442
acrylicPaintBundling-GM2,500,5.6519378915
acrylicPaintBundling-GM2,500,5.3372309742
acrylicPaintBundling-GM2,500,5.4711925348
acrylicPaintBundling-GM2,500,5.4387559103
acrylicPaintBundling-GM2,500,5.2566765818
acrylicPaintBundling-GM2,500,6.011972783
acrylicPaintBundling-GM2,1000,5.2079423774
acrylicPaintBundling-GM2,1000,5.2182472949
acrylicPaintBundling-GM2,1000,5.4818978372
acrylicPaintBundling-GM2,1000,5.2450310678
acrylicPaintBundling-GM2,1000,5.2821229542
acrylicPaintBundling-GM2,1000,5.1242756282
acrylicPaintBundling-GM2,1000,5.2919386307
acrylicPaintBundling-GM2,1000,5.4261776769
acrylicPaintBundling-GM2,1000,5.3438079074
acrylicPaintBundling-GM2,1000,5.3207104767
acrylicPaintBundling-GM2,1000,6.1836053024
acrylicPaintBundling-GM2,1000,5.3781586597
acrylicPaintBundling-GM2,1000,5.2049019637
acrylicPaintBundling-GM2,1000,5.4055746213
acrylicPaintBundling-GM2,1000,5.4421212997
acrylicPaintBundling-GM2,1000,5.3076046639
acrylicPaintBundling-GM2,1000,5.5004972702
acrylicPaintBundling-GM2,1000,5.5009328197
acrylicPaintBundling-GM2,1000,5.2973010715
acrylicPaintBundling-GM2,1000,5.2315678748
acrylicPaintBundling-GM2,1000,5.2798298816
acrylicPaintBundling-GM2,1000,5.3646188532
acrylicPaintBundling-GM2,1000,5.3246328443
acrylicPaintBundling-GM2,1000,5.2427341975
acrylicPaintBundling-GM2,1000,5.6656695322
acrylicPaintBundling-GM2,1000,5.4283112042
acrylicPaintBundling-GM2,1000,5.1822070424
acrylicPaintBundling-GM2,1000,5.595856843
acrylicPaintBundling-GM2,1000,5.2198713246
acrylicPaintBundling-GM2,1000,5.3696315262
acrylicPaintBundling-GM2,1000,5.2678670826
acrylicPaintBundling-GM2,1000,5.3711045557
acrylicPaintBundling-GM2,1000,5.3064710898
acrylicPaintBundling-GM2,1000,5.6714643508
acrylicPaintBundling-GM2,1000,5.3638421554
acrylicPaintBundling-GM2,1000,5.3762563246
acrylicPaintBundling-GM2,1000,5.3281369945
acrylicPaintBundling-GM2,1000,5.3659365741
acrylicPaintBundling-GM2,1000,5.3612373012
