Version,Bundling/Dropping Time (ms),Energy (J)
colorPickerBundling,1000,56.223143501
colorPickerBundling,1000,54.9570369978
colorPickerBundling,1000,57.2205474322
colorPickerBundling,1000,58.9952671466
colorPickerBundling,1000,55.556719296
colorPickerBundling,1000,56.6735527908
colorPickerBundling,1000,55.9966481652
colorPickerBundling,1000,54.9618646512
colorPickerBundling,1000,56.447288204
colorPickerOriginal,1000,65.9296818446
colorPickerOriginal,1000,66.7208384218
colorPickerOriginal,1000,66.1396949752
colorPickerOriginal,1000,65.5218868366
colorPickerOriginal,1000,67.4234353826
colorPickerOriginal,1000,66.469172415
colorPickerOriginal,1000,67.148678397
colorPickerOriginal,1000,66.7967960098
colorPickerOriginal,1000,65.8270710714
colorPickerOriginal,1000,62.7347457154
colorPickerOriginal,1000,65.2371219546
colorPickerOriginal,1000,66.4406221002
colorPickerOriginal,1000,65.6887116424
colorPickerOriginal,1000,66.0534273496
colorPickerOriginal,1000,67.6901160474
colorPickerOriginal,1000,63.5087100016
colorPickerOriginal,1000,66.0145499704
colorPickerOriginal,1000,65.0787746944
colorPickerOriginal,1000,66.831426952
colorPickerOriginal,1000,67.7012956958
colorPickerOriginal,1000,66.1242811
colorPickerOriginal,1000,65.5983433474
colorPickerOriginal,1000,66.2506375284
colorPickerOriginal,1000,66.3851869644
colorPickerOriginal,1000,65.9303235366
colorPickerOriginal,1000,65.0702508968
colorPickerOriginal,1000,66.4984527236
colorPickerOriginal,1000,66.334721365
colorPickerOriginal,1000,65.5612081554
colorPickerOriginal,1000,67.2660914624
colorPickerOriginal,1000,65.244684948
colorPickerOriginal,1000,65.6694707102
colorPickerOriginal,1000,65.679038024
colorPickerOriginal,1000,65.7005928156
colorPickerOriginal,1000,64.3564197412
colorPickerOriginal,1000,65.4611244832
colorPickerOriginal,1000,65.0078338166
colorPickerOriginal,1000,65.9823022356
colorPickerOriginal,1000,67.6086987064
colorPickerOriginal,1000,65.8662159282
colorPickerDropping,2000,49.2631923356
colorPickerDropping,2000,51.0498307434
colorPickerDropping,2000,48.9915097412
colorPickerDropping,2000,50.6732406582
colorPickerDropping,2000,49.8440577418
colorPickerDropping,2000,51.0991367496
colorPickerDropping,2000,50.0748510564
colorPickerDropping,2000,50.1019221566
colorPickerDropping,2000,49.857905797
colorPickerDropping,2000,49.8124695102
colorPickerDropping,2000,50.112492194
colorPickerDropping,2000,50.4254650768
colorPickerDropping,2000,50.6552992186
colorPickerDropping,2000,50.7623527248
colorPickerDropping,2000,49.543167568
colorPickerDropping,2000,49.5488410624
colorPickerDropping,2000,50.3964098864
colorPickerDropping,2000,50.2430739758
colorPickerDropping,2000,49.7334429238
colorPickerDropping,2000,51.1135284472
colorPickerDropping,2000,49.8360117084
colorPickerDropping,2000,49.5684237484
colorPickerDropping,2000,49.697829748
colorPickerDropping,2000,50.689418319
colorPickerDropping,2000,50.4527889368
colorPickerDropping,2000,50.233615203
colorPickerDropping,2000,51.9684498722
colorPickerDropping,2000,49.3838934182
colorPickerDropping,2000,50.7125344686
colorPickerDropping,2000,49.9123936266
colorPickerDropping,2000,49.8984830062
colorPickerDropping,2000,50.049617523
colorPickerDropping,2000,49.3522435148
colorPickerDropping,2000,50.6568850504
colorPickerDropping,2000,49.1891572676
colorPickerDropping,2000,49.658744654
colorPickerDropping,2000,50.5635628362
colorPickerDropping,2000,49.3986788284
colorPickerOriginal,2000,65.9296818446
colorPickerOriginal,2000,66.7208384218
